Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F71	70	LA000000900226000772314	Hatchery LV	Hatchery	LV	12:12	-1	14.3	110	70_2	0	3	3	0.136333333	0.355135968	1
F95	41	LA000000900226000729143	Hatchery LV	Hatchery	LV	12:12	-1	12.3	109	41_2	0	1	1	1.395666667	0.522923415	1
	66	LA000000900226000790173	Hatchery LV	Hatchery	LV	24	NA	NA	NA	66_1	-1	3	1	0.954833333	0.184856175	1
	89	LA000000900226000772380	Hatchery LV	Hatchery	LV	24	NA	NA	NA	89_1	-1	1	1	0.2995	0.159550288	1
F118	36	LA000000900226000772390	Hatchery HV	Hatchery	HV	24	1	19.7	121	36_1	-1	3	2	1.183333333	0.229029483	0
F125	67	LA000000900226000790155	Hatchery HV	Hatchery	HV	24	-1	15.3	112	67_1	-1	1	6	0.2145	0.265829794	0
F127	4	LA000000900226000772518	Hatchery HV	Hatchery	HV	24	-1	17.3	119	4_1	-1	3	5	0.389666667	0.343311247	1
F128	17	LA000000900226000790665	Hatchery LV	Hatchery	LV	24	1	19.6	122	17_1	-1	1	5	9.75	NA	0
F131	33	LA000000900226000789994	Hatchery HV	Hatchery	HV	24	-1	16	116	33_1	-1	1	4	0.4105	0.106214465	1
F132	88	LA000000900226000790112	Hatchery HV	Hatchery	HV	24	-1	17.3	117	88_1	-1	3	3	9.75	NA	0
F133	98	LA000000900226000790648	Hatchery LV	Hatchery	LV	24	1	26	135	98_1	-1	2	5	2.503166667	0.267510405	1
F134	21	LA000000982000357033042	Hatchery LV	Hatchery	LV	24	1	13.9	110	21_1	-1	4	3	0.027	0.207857657	1
F57	69	LA000000900226000772253	Hatchery HV	Hatchery	HV	12:12	1	16	112	69_3	1	1	3	0.126666667	0.023172828	0
F58	39	LA000000900226000772374	Hatchery HV	Hatchery	HV	12:12	-1	13.5	112	39_3	1	3	2	8.745833333	0.864497671	0
F59	28	LA000000900226000772551	Hatchery LV	Hatchery	LV	12:12	-1	17.6	122	28_3	1	4	3	0.0615	0.2046581	1
F69	40	LA000000900226000772510	Hatchery HV	Hatchery	HV	12:12	1	22.9	130	40_3	1	3	1	2.654	0.101888388	1
F71	70	LA000000900226000772314	Hatchery LV	Hatchery	LV	12:12	-1	14.3	110	70_3	1	2	2	1.519166667	0.12058429	1
F95	41	LA000000900226000729143	Hatchery LV	Hatchery	LV	12:12	-1	12.3	109	41_3	1	2	1	9.75	NA	0
	66	LA000000900226000790173	Hatchery LV	Hatchery	LV	24	NA	NA	NA	66_2	0	1	4	0.2745	0.150493378	1
	89	LA000000900226000772380	Hatchery LV	Hatchery	LV	24	NA	NA	NA	89_2	0	2	1	1.032666667	0.143698651	1
F118	36	LA000000900226000772390	Hatchery HV	Hatchery	HV	24	1	19.7	121	36_2	0	2	3	1.698	0.179811227	1
F125	67	LA000000900226000790155	Hatchery HV	Hatchery	HV	24	-1	15.3	112	67_2	0	3	5	0.122	0.166285833	1
F127	4	LA000000900226000772518	Hatchery HV	Hatchery	HV	24	-1	17.3	119	4_2	0	4	4	0.087333333	0.046329845	0
F128	17	LA000000900226000790665	Hatchery LV	Hatchery	LV	24	1	19.6	122	17_2	0	4	2	9.75	NA	0
F131	33	LA000000900226000789994	Hatchery HV	Hatchery	HV	24	-1	16	116	33_2	0	2	2	0.816166667	0.058112749	0
F132	88	LA000000900226000790112	Hatchery HV	Hatchery	HV	24	-1	17.3	117	88_2	0	4	1	8.261833333	0.8176754	0
F133	98	LA000000900226000790648	Hatchery LV	Hatchery	LV	24	1	26	135	98_2	0	4	3	0.081333333	0.086015967	0
F134	21	LA000000982000357033042	Hatchery LV	Hatchery	LV	24	1	13.9	110	21_2	0	1	6	0.153666667	0.165116076	1
F100	83	LA000000900226000789220	Hatchery HV	Hatchery	HV	12:12	1	11.7	104	83_1	-1	2	3	9.75	NA	0
F103	5	LA000000900226000772553	Hatchery LV	Hatchery	LV	12:12	1	17.4	121	5_1	-1	1	3	1.008666667	0.090623406	0
F56	57	LA000000900226000789201	Hatchery HV	Hatchery	HV	12:12	-1	13.4	108	57_1	-1	4	2	0.04	0.007963955	0
F64	10	LA000000900226000790628	Hatchery LV	Hatchery	LV	12:12	1	13.9	109	10_1	-1	3	3	1.824666667	0.109332849	1
F67	1	LA000000900226000772580	Hatchery LV	Hatchery	LV	12:12	-1	16.2	116	1_1	-1	4	1	0.318	0.408148855	1
F74	24	LA000000900226000076530	Hatchery LV	Hatchery	LV	12:12	-1	10.5	100	24_1	-1	4	3	0.296166667	0.234503431	1
F87	79	LA000000900226000790199	Hatchery LV	Hatchery	LV	12:12	1	29.7	142	79_1	-1	3	1	0.114166667	0.921803392	1
	66	LA000000900226000790173	Hatchery LV	Hatchery	LV	24	NA	NA	NA	66_3	1	2	3	0.083833333	0.654929512	1
	89	LA000000900226000772380	Hatchery LV	Hatchery	LV	24	NA	NA	NA	89_3	1	3	1	0.2625	0.076611331	1
F118	36	LA000000900226000772390	Hatchery HV	Hatchery	HV	24	1	19.7	121	36_3	1	1	1	9.75	NA	0
F125	67	LA000000900226000790155	Hatchery HV	Hatchery	HV	24	-1	15.3	112	67_3	1	4	4	0.223833333	0.123116636	0
F127	4	LA000000900226000772518	Hatchery HV	Hatchery	HV	24	-1	17.3	119	4_3	1	1	4	1.82	0.206573636	1
F128	17	LA000000900226000790665	Hatchery LV	Hatchery	LV	24	1	19.6	122	17_3	1	2	2	9.0275	0.794380805	0
F131	33	LA000000900226000789994	Hatchery HV	Hatchery	HV	24	-1	16	116	33_3	1	3	4	0.213166667	0.102200519	1
F132	88	LA000000900226000790112	Hatchery HV	Hatchery	HV	24	-1	17.3	117	88_3	1	1	5	0.162666667	0.361013587	1
F133	98	LA000000900226000790648	Hatchery LV	Hatchery	LV	24	1	26	135	98_3	1	1	3	0.1175	0.078806699	0
F134	21	LA000000982000357033042	Hatchery LV	Hatchery	LV	24	1	13.9	110	21_3	1	2	4	0	0.006734359	0
F100	83	LA000000900226000789220	Hatchery HV	Hatchery	HV	12:12	1	11.7	104	83_2	0	3	3	0.152333333	0.361789893	1
F103	5	LA000000900226000772553	Hatchery LV	Hatchery	LV	12:12	1	17.4	121	5_2	0	2	2	0.083333333	0.198259587	1
F56	57	LA000000900226000789201	Hatchery HV	Hatchery	HV	12:12	-1	13.4	108	57_2	0	3	1	0.1315	0.412156781	1
F64	10	LA000000900226000790628	Hatchery LV	Hatchery	LV	12:12	1	13.9	109	10_2	0	2	3	0.0685	0.095737637	1
F67	1	LA000000900226000772580	Hatchery LV	Hatchery	LV	12:12	-1	16.2	116	1_2	0	1	4	0.354166667	0.42612901	1
F74	24	LA000000900226000076530	Hatchery LV	Hatchery	LV	12:12	-1	10.5	100	24_2	0	3	2	5.739333333	1	1
F87	79	LA000000900226000790199	Hatchery LV	Hatchery	LV	12:12	1	29.7	142	79_2	0	4	2	0.302166667	0.626106378	1
	7	LA000000900226000772244	Wild HV	Wild	HV	24	NA	NA	NA	7_1	-1	4	4	0.1635	0.494445314	1
	73	LA000000900226000789965	Wild LV	Wild	LV	24	NA	NA	NA	73_1	-1	2	5	0	0.26562359	0
